s3key,date,sender,subject,classification,action,oppId,inLedger,attachments
5200se2v60av,,,,UNRELATED,IGNORED,,NO,0
ogmvnh5s7dc6,"Fri, 14 Aug 2026 11:16:34 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Grant Opportunities for 08/14/2026,UNRELATED,IGNORED,,yes,0
idgbti2k1n5g,"Fri, 14 Aug 2026 11:29:58 +0000",HigherGov <subscriptions@highergov.com>,HigherGov State and Local Opportunities for 08/14/2026,UNRELATED,IGNORED,,yes,0
if0apmp2abrp,"Fri, 14 Aug 2026 11:41:43 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Saved Search Update 08/14/2026,UNRELATED,IGNORED,,yes,0
flmjnvt252as,"Fri, 14 Aug 2026 12:09:28 +0000",HigherGov <subscriptions@highergov.com>,HigherGov Federal Opportunities for 08/14/2026,UNRELATED,IGNORED,,yes,0
flj1trt3vqic,"Fri, 14 Aug 2026 12:54:58 +0000","""'Andy From RFPMart' via Proposals"" <proposals@horustech.dev","RFPMart - USA (Federal, State & Govt) - RFPs for Website Design, Website Hosting and Web Redesign - ",UNRELATED,IGNORED,,yes,0
q1bmjuk9et59,"Fri, 14 Aug 2026 16:16:21 +0000",BidNet Direct <noreply@bidnet.com>,Addendum from BidNet Direct for RFP#108-26 Clerk Records Management System solicitation for Calhoun ,UNRELATED,IGNORED,,yes,0
0mhoouvu6v8q,"Fri, 14 Aug 2026 16:43:17 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
kfb340gjra1r,"Fri, 14 Aug 2026 16:45:20 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
9hsos61q3rc3,"Fri, 14 Aug 2026 16:50:24 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
i2u9r5sve4pn,"Fri, 14 Aug 2026 17:21:16 -0600","""'Public Purchase' via Proposals"" <proposals@horustech.dev>",County of Riverside has invited you to bid RFQ #DPARC-0679 - DEPARTMENT OF PUBLIC SOCIAL SERVICES (D,UNRELATED,IGNORED,,yes,0
emin00fo8hlc,"Fri, 14 Aug 2026 18:08:17 +0000","""'noreply@esmsolutions.com' via Proposals"" <proposals@horust","The University of Alabama has published UA26-137, Furniture, Installation, and Related Products and ",UNRELATED,IGNORED,,yes,0
oajl31bap05h,"Fri, 14 Aug 2026 18:33:33 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
7tmu1jv4ei5e,"Fri, 14 Aug 2026 18:52:33 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
62ks53if8cuq,"Fri, 14 Aug 2026 19:01:39 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
r4scde28c7d7,"Fri, 14 Aug 2026 19:14:40 +0000",BidNet Direct <noreply@bidnet.com>,New answer published for RFP_F-0000000014 - Information Technology Managed Service Provider solicita,UNRELATED,IGNORED,,yes,0
